id,label,title,text
t001,true,Exercise cuts heart disease risk,Scientists at Johns Hopkins confirm in a peer-reviewed meta-analysis that 30 minutes of moderate exercise daily reduces cardiovascular disease risk by 35%. The study followed 50,000 participants over 10 years.
t002,true,Mediterranean diet linked to lower dementia risk,A large cohort study published in JAMA Neurology found that adherence to a Mediterranean diet was associated with a 23% lower risk of developing dementia over a 12-year follow-up period.
t003,true,Global CO2 emissions hit record high in 2023,The International Energy Agency confirmed global carbon dioxide emissions from energy combustion reached a record 36.8 billion tonnes in 2023, driven by fossil fuel use recovering post-pandemic.
t004,true,WHO declares mpox a global health emergency,The World Health Organization declared mpox a public health emergency of international concern for the second time, citing a surge in cases across Central Africa and new variants spreading internationally.
t005,true,Antibiotic resistance now kills more than HIV or malaria,A Lancet study estimates antimicrobial resistance directly caused 1.27 million deaths globally in 2019 and was associated with nearly 5 million deaths, exceeding mortality from HIV/AIDS or malaria.
f001,fake,5G towers confirmed to suppress immune system,Leaked documents from a European telecom consortium reveal that 5G millimeter-wave radiation suppresses the human immune system by disrupting white blood cell production. Governments are covering this up.
f002,fake,Bill Gates funding microchip program in flu vaccines,Internal memos obtained by activists reveal that a Gates Foundation project has been secretly adding microscopic tracking chips to flu vaccines distributed in 12 countries since 2021.
f003,fake,New study proves coffee causes rapid cancer spread,Shocking research from an anonymous lab claims that drinking more than one cup of coffee per day accelerates cancer cell division by 400%. Doctors don't want you to know this.
f004,fake,Global elite planning engineered food shortage in 2025,A whistleblower from the World Economic Forum has revealed a coordinated plan among global billionaires to engineer a food shortage in 2025 to force acceptance of lab-grown meat and insect protein.
f005,fake,Moon landing footage was filmed in Arizona studio,Newly surfaced documents from a former NASA contractor confirm the 1969 Apollo 11 moon landing footage was filmed at a secret studio in Arizona. Stanley Kubrick reportedly directed the shoot.
m001,misleading,Vaccines linked to rising autism rates new data shows,A new analysis of CDC data shows autism diagnoses increased sharply in the years following expanded vaccine schedules. Researchers say the correlation warrants urgent investigation into vaccine ingredients.
m002,misleading,Sugar industry funded studies downplaying obesity link,Documents obtained through FOIA requests show that major sugar companies paid researchers in the 1960s to shift blame for obesity from sugar to fat. Some experts say this influence continues today.
m003,misleading,Wind turbines linked to mysterious illness in rural towns,Residents near wind farms in three states report headaches, insomnia, and nausea at higher rates than surrounding areas according to a survey conducted by a local anti-wind advocacy group.
m004,misleading,Antidepressants only marginally better than placebo study finds,A re-analysis of pharmaceutical company trial data suggests the clinical benefit of antidepressants over placebo is smaller than previously thought and may not be meaningful for mild depression.
m005,misleading,Children who use screens more than 2 hours a day score lower on cognitive tests,A cross-sectional survey of 10,000 children found that those reporting more than 2 hours of daily screen time scored on average 8 points lower on cognitive assessments than those with less screen exposure.
